CNAE,n_ocup_pond,renda_total_pond,n_empregador_pond,renda_empregador_pond,n_conta_propria_pond,renda_conta_propria_pond,Renda Média_Total,Renda Média_empregador,Renda Média_conta_propria,Trimestre
82003.0,3948.9187495799997,0.0,0.0,0.0,852.15294106,0.0,0.0,,0.0,1T2021
82009.0,5654.33427757,0.0,0.0,0.0,987.96406537,0.0,0.0,,0.0,1T2021
84011.0,8888.953938210001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
84012.0,17245.35450281,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
84013.0,123753.33118596,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
84014.0,13532.26049479,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
84015.0,3654.62967439,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
84016.0,51299.387440189996,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
84017.0,6449.517750610001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
84020.0,669.7033498000001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
85011.0,6482.9132743400005,0.0,0.0,0.0,1383.8353566,0.0,0.0,,0.0,1T2021
85012.0,106551.81373211999,0.0,0.0,0.0,1130.62137654,0.0,0.0,,0.0,1T2021
85013.0,43669.80426481,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
85014.0,13529.723634630001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
85029.0,17377.57415615,0.0,0.0,0.0,7168.308638530001,0.0,0.0,,0.0,1T2021
86001.0,84421.3766353,0.0,0.0,0.0,2137.29794815,0.0,0.0,,0.0,1T2021
86002.0,56426.972060529995,0.0,2670.8469561399997,0.0,0.0,0.0,0.0,0.0,,1T2021
86003.0,3941.3863530300005,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
86004.0,16980.646048709998,0.0,0.0,0.0,8169.41766293,0.0,0.0,,0.0,1T2021
86009.0,1678.91154064,0.0,0.0,0.0,1113.74501254,0.0,0.0,,0.0,1T2021
87000.0,10963.057080890001,0.0,0.0,0.0,0.0,0.0,0.0,,,1T2021
